Blue (Band 2),Green (Band 3),Red (Band 4),NIR (Band 5),SWIR (Band 6),SWIR (Band 7),class_id
10674,12472,14428,18240,20858,18629,5
10796,12710,14802,18509,20936,19036,5
10861,12744,14882,18932,21262,18931,5
11045,13039,15181,19230,21320,18989,5
11031,12996,15105,18974,21162,18864,5
10739,12658,14660,18364,20689,18628,5
10481,12183,14032,17841,20146,18325,5
10484,12173,14066,17853,20049,17989,5
10395,12080,13800,18113,19684,17277,5
10440,12182,13891,18407,19722,17347,5
10741,12686,14566,18781,20472,17925,5
10758,12690,14516,18638,20253,17836,5
10804,12801,14731,18719,20331,18169,5
10844,12890,14915,18704,20433,18474,5
10562,12453,14233,18164,19829,18065,5
10366,12101,13879,17810,19577,17759,5
10509,12218,14087,17726,20104,18303,5
10561,12339,14287,17942,20330,18594,5
10543,12349,14344,18646,20672,17640,5
10586,12381,14392,19005,20931,17483,5
10574,12432,14422,18804,20521,17194,5
10441,12187,14040,18406,20236,16757,5
10297,11985,13688,18137,19677,16647,5
10300,11976,13723,18085,19670,16752,5
10409,12164,13957,17909,19893,17989,5
10547,12342,14195,17908,20361,18961,5
10673,12544,14561,18169,20762,19412,5
10775,12683,14768,18321,21073,19810,5
10631,12464,14406,18130,20652,19214,5
10572,12357,14361,18036,20396,18947,5
10633,12434,14346,18059,20620,19162,5
10664,12433,14407,17929,20199,18879,5
10550,12274,14094,17581,19530,17949,5
10666,12256,13945,17455,19103,17375,5
10606,12258,13962,17461,19603,17952,5
10629,12350,14292,17908,20227,18557,5
10593,12280,14239,17600,20325,18617,5
10637,12354,14336,17880,21006,19179,5
10679,12405,14449,18247,20514,18230,5
10686,12557,14657,18642,21142,18550,5
10840,12697,14929,18823,21382,18904,5
10770,12628,14792,18655,20975,18640,5
10732,12545,14584,18556,20869,18384,5
10952,12874,15051,18826,21153,19252,5
10962,12963,15159,18689,21234,20010,5
10831,12683,14778,18330,21278,19947,5
10847,12675,14783,18299,21210,19864,5
10744,12570,14639,18323,20763,19328,5
10712,12487,14558,18202,21302,19935,5
10628,12377,14422,17896,21137,19626,5
10525,12184,14151,17631,20911,19231,5
10526,12195,14159,18331,20716,18011,5
10625,12357,14397,19306,21363,16997,5
10822,12618,14865,19861,22145,17448,5
10800,12663,14905,19849,22016,17329,5
10645,12471,14658,19272,21189,17242,5
10606,12341,14306,18234,20560,18349,5
10724,12549,14518,18283,20552,18950,5
10880,12780,14851,18786,21193,19157,5
10955,12929,15005,18814,21194,19215,5
10681,12533,14414,18568,20204,17918,5
10604,12423,14359,18498,20249,17949,5
10417,12164,14040,18044,20272,18366,5
10423,11993,13633,17827,20109,17723,5
10385,11942,13588,18256,20011,16741,5
10555,12249,13932,18617,20385,17061,5
10645,12559,14326,18875,20232,17230,5
10602,12414,14154,18638,20004,17070,5
10760,12732,14528,18760,19929,17847,5
10798,12808,14796,18553,20401,18553,5
10291,11893,13575,17586,19214,17397,5
10249,11908,13633,17504,19587,17917,5
10494,12224,14125,17687,20235,18529,5
10505,12219,14037,17697,20186,18514,5
10505,12262,14226,18458,20697,17454,5
10574,12418,14444,18912,20956,17267,5
10607,12528,14473,18845,20419,16998,5
10523,12362,14256,18663,20291,16736,5
10433,12248,14044,18479,20188,16701,5
10459,12299,14112,18674,20186,16816,5
10507,12340,14166,18252,20258,17899,5
10726,12629,14634,18364,20612,18992,5
10831,12837,14815,18452,20703,19415,5
10871,12884,14987,18506,20954,19669,5
10716,12648,14700,18493,20625,19273,5
10659,12605,14539,18015,20589,19354,5
10634,12396,14242,17770,19576,18041,5
10711,12411,14104,17449,19469,17953,5
10687,12296,14004,17533,19350,17711,5
10452,12155,13907,17567,19952,18435,5
10551,12218,14150,17792,20565,19013,5
10674,12473,14550,18099,20856,19363,5
10542,12203,14070,17570,20285,18825,5
10584,12262,14213,17661,20753,19129,5
10776,12500,14601,18277,21046,18756,5
10671,12476,14516,18421,21093,18663,5
10784,12548,14702,18706,21153,18642,5
10878,12750,14996,18831,21622,19213,5
10650,12521,14522,18485,20621,18464,5
10994,12981,15229,19019,21304,19398,5
11151,13111,15381,18764,22060,20830,5
10837,12672,14776,18273,21329,20148,5
10929,12679,14789,18224,21480,20116,5
10779,12607,14611,18563,20972,19284,5
10723,12454,14509,18067,21272,19635,5
10616,12333,14360,17877,20926,19268,5
10617,12269,14247,17669,20936,19321,5
10479,12217,14108,18088,20299,18122,5
10458,12115,13897,18650,20401,17225,5
10574,12342,14260,18656,20822,17505,5
10532,12317,14366,19083,20692,17063,5
10681,12517,14566,19136,21147,17791,5
10661,12459,14432,18394,20879,18964,5
10756,12526,14568,18201,21075,19446,5
10575,12306,14232,18412,20449,18339,5
10689,12453,14409,18325,20733,18617,5
10408,12185,13955,18212,19854,17743,5
10566,12323,14293,18084,20678,18603,5
10411,12118,13908,17726,20237,18303,5
10480,12179,14015,18046,20413,18076,5
10342,12002,13691,18344,20363,16789,5
10417,12310,14109,18711,20500,17030,5
10647,12559,14378,18938,20677,17426,5
10739,12649,14403,18833,20375,17500,5
